discord_id,advanced,beginner
Discord ID,advanced,beginner
ii.nwx. _,false,true
abderrahmane_chibout,false,false
limo54,true,false
anis069283,false,true
zonca.exe,true,false
.wonya,true,false
belaidbelk_25600,false,false
https://discord.gg/jbCqcTr6,false,true
1034529028780077096,false,false
https://discord.gg/Rn2ts5aa,false,true
Hinata096304,false,true
afaf_boudjada,true,false
1037055744811479092,true,false
1014932005420544061,false,true
rayane_abdou,true,false
1309898987230466089,false,true
1227382020645191742,false,true
1436800681934585856,false,true
@abderahmane.9,false,true
Imraxim ,true,false
1378840135948566590,false,true
mxrvee_il__12971,false,false
710263307386486854,true,false
Oumaimaben0478,false,true
ja.7,false,true
imadbb,false,false
chaima05679,false,true
https://discord.gg/PYVV7ZvK,false,true
diaa_messaoudi,true,false
Ih,false,true
synthesizedjamel,false,true
dxuaaa,true,false
I don't have it yet .,false,true
1174716136676413450,false,true
https://discord.com/users/1298339208653443182,false,true
Hafsa bourogaa,false,true
ghoufihadia,false,true
https://discord.gg/Matennww,true,false
ifwxr70,false,true
ax_islam_,false,false
md_zehwani,false,true
1216153484542345368,true,false
beeba_24253,false,true
Kao_ben,true,false
00,true,false
????,true,false
Leila-bch#3206,true,false
1288858226833752176,true,false
mariatlb2.0,false,false
nour093731,false,true
ruins,true,false
abderrahmane2005 ,true,false
1440787616277725195,false,true
1421925006207615138,false,true
rayane04795,false,true
ferielbenhadda,true,false
Mousaab,false,true
1207733341949005915,true,false
oussama_0000,true,false
879296324229529651,false,true
racha_49347,true,false
r.f1,true,false
rofaila_,false,false
abdelsamedhouchine,true,false
tliouantselmameyssa_85995,false,true
serine0616,false,true
serine5,true,false
selma#3675,true,false
Dont have,false,true
abidouscoobydoo,false,false
Yu4oub,true,false
amineig6,false,true
ayoub_v,true,false
wad_laf,false,true
mammarelhadjimad_03103,false,true
1263914574650802228,false,true
Yasmin.sbh#6426,true,false
_meriem_8,false,true
Wld0lx,false,true
https://discord.gg/ewZ8wHYV,false,true
Panika10.,true,false
lyly0031,false,true
sirinebdfr_33653,false,true
1289962577798889627,false,true
liliesss.2_33000,false,true
i dont have,true,false
https://discord.gg/tr4uZ5BR,false,true
sara_61367,false,true
sirine1574,false,true
2003,false,true
celina_82,false,true
866413382218285076,true,false
alexiosody1,true,false
1423033212497694857,false,true
Zahrabn0568_87607,false,true
Azzam08744,false,true
melissa06017,false,true
adelthereal1._23900,true,false
_harry__potter,true,false
hentabli,true,false
khadidjaaah,false,true
1164983938016616460,false,false
924719539374129193,false,true
https://discord.gg/cCGC4xT8,false,true
ry_ym.,true,false
1176962009628168268,false,false
Mahdibns#0488,false,true
Imane_200503,false,false
noha_aya,false,false
silly._.wendy._.,false,true
https://discord.gg/sUMwn9vk,false,false
1046508395538157619,false,true
adel_dibs,true,false
I don’t have ,true,false
nourmellak ,false,true
fm.yacine,false,false
https://www.instagram.com/hynd.bn?igsh=NmFmcjVjeTlrbDg3&utm_source=qr,false,true
1423986366433329213,false,true
skull7408,true,false
ayoub09,false,false
ezek1lls,false,false
hayat_tai,false,false
oumelkheir0789_28443,false,true
1070539466604818493,false,true
Strawbeeroo,true,false
https://discord.com/channels/@me,false,false
1413518394262552608,true,false
1424837268442452149,false,false
saiko23x,false,true
mary015314,false,false
Non,true,false
Meriemsaid_,false,true
mohamed_mm0,true,false
https://discord.gg/cjQVu2x3,false,true
https://discord.gg/7wWX6ZUU,false,true
abdou4796,true,false
aya055496,false,false
meryeaam,false,true
1010235272186834974,true,false
1437810331828359328,false,true
besmala_amira,false,true
1441716347925958667,false,true
nournina0386,true,false
zatout_asma,false,true
redhatr,false,true
None,false,true
Yaemiko.hun,false,false
nihaad27_99951,true,false
aymenfechit,false,false
I'd have one ,false,false
abdelmalekbenmahmoud,false,true
1130484829830524928,false,true
nourhane0862_49183,true,false
https://discord.gg/uHheJQ5y,false,true
https://discord.gg/8qJ4eyG7,false,true
https://discord.gg/zr7RFECD,false,true
Mohameddoumi_64102,false,true
islem0939,false,true
https://discord.gg/J2AKFn6N,false,true
anis55,true,false
ouadoud_,false,true
mat_r1x.,true,false
1166731276984799367,false,true
imene,false,true
nour33301,false,true
asmah05_,false,true
yousraelaichi ,false,false
i dont have ,false,true
202096tzd9jy28wrn,false,true
still.hadil,false,true
Yumi029608,false,true
1436842289359229078,false,true
3nvvyy4,false,false
merouamfd,false,true
708690218508615741,true,false
assalasaadoune._44958,false,false
https://discord.gg/AmN3ce5Y,false,true
7chicha_talba_m3icha,true,false
,false,false
